UUID,Distance (ly),Distance (ly) adj,Constellation,RA,Dec,Stellarclass,Mass,Apparent magnitude (v),Visible to the unaided eye,Apparent magnitude (j),Parallax(mas),Parallax(mas) adj,System,StarName,Sub-brown dwarf or rogue planet,Brown dwarf,White dwarf,Luminous star,Notes and additional references,Planets
55200a27-6673-4aec-af81-cbe43b56ed26,,,,,,M?,0.11,13.27,,15.58,,,"EZ Aquarii (Gliese 866, Luyten 789-6)",B,,,,,,
787bd816-ed0e-47ca-accf-3328ced950ed,,,,,,M?,0.10,14.03,,16.34,,,"EZ Aquarii (Gliese 866, Luyten 789-6)",C,,,,,,
6b520897-9c6a-4dfe-9bcf-3f213825f46f,11.402,±0.032,CMi*,07h 39m 18.1s,+05° 13′ 30″,F5IV–V,1.499,0.38,#,2.66,286.05,±0.81,Alpha Canis Minoris,Procyon (A),,,,$,,
5a20aa7d-cc93-4693-bc2b-53a07255d780,,,,,,DQZ,0.602,10.70,,12.98,,,Alpha Canis Minoris,B,,,‡,,,
4c74ee9b-3cb2-4660-b90d-dce2035bb497,11.4039,±0.0012,Cyg*,21h 06m 53.9s,+38° 44′ 58″,K5.0V,0.70,5.21,#,7.49,286.0054,±0.0289,61 Cygni,A (BD+38°4343),,,,$,"First star (besides Sun) to have measured distance. B flare star, Possible circumstellar disk.",with possible planet or brown dwarf.
6b02a8b5-6dfa-4639-b8ba-f79a9370a246,,,,21h 06m 55.3s,+38° 44′ 31″,K7.0V,0.63,6.03,#,8.31,,,61 Cygni,B (BD+38°4344),,,,$,,
72cc89b9-091b-4d63-8fbd-df295d3a6653,11.4908,±0.0009,Dra*,18h 42m 46.7s,+59° 37′ 49″,M3.0V,0.334,8.90,,11.16,283.8401,±0.0220,"Struve 2398 (Gliese 725, BD+59°1915)",A (HD 173739),,,,,"flare stars, star B has",2 candidate planets
0dccc1dd-d8e3-4cd1-8afb-eaea851732ab,,,,18h 42m 46.9s,+59° 37′ 37″,M3.5V,0.248,9.69,,11.95,,,"Struve 2398 (Gliese 725, BD+59°1915)",B (HD 173740),,,,,,
2fcfb55f-bf38-47aa-b218-23df6fba0b3f,11.6191,±0.0008,And,00h 18m 22.9s,+44° 01′ 23″,M1.5V,0.38,8.08,,10.32,280.7068,±0.0203,Groombridge 34 (Gliese 15),A (GX Andromedae),,,,,flare star,"two known planets (Ab, 2014, and Ac, 2018)"
484c6976-b94a-426c-ac6f-480424a46865,,,,,,M3.5V,0.15,11.06,,13.30,,,Groombridge 34 (Gliese 15),B (GQ Andromedae),,,,,flare star,
8c3e66ef-9718-461d-aa37-1afce5423c38,11.6797,±0.0027,Cnc*,08h 29m 49.5s,+26° 46′ 37″,M6.5Ve,0.09,14.78,,16.98,279.2496,±0.0637,DX Cancri (G 51-15),,,,,,flare star,
